Gene,Protein,Location,Methodology
AT1G20950,NFC4,,
AT2G39720,ASPGB1,,
AT3G58840,MORF8,,
AT2G21370,RIP1,,
AT1G52160,AtSDR2,,
AT4G09670,SDR2,,
AT2G05310,CIPK25,,
AT2G40925,SnRK3.25,,
AT3G42960,NHL12,,
AT4G35040,RPL12,,
AT3G48570,RPL12-A,,
ATMG00750,ACX2,,
AT1G01950,ATACX2,,
AT1G08460,PXC2,,
AT1G21530,EXO84B,,
AT3G09890,GNL2,,
AT1G08465,TCP8,,
AT3G52290,TPR6,,
AT2G16970,AtMC3,,
AT5G37670,AtMCP1a,,
AT3G02870,MC3,,
AT1G02970,MCP1a,,
AT3G02875,ATROPGEF7,,
AT2G41190,ROPGEF7,,
AT4G14880,SPH8,,
AT1G35515,AtGH9B8,,
AT3G55740,GH9B8,,
AT5G28960,TTL1,,
AT2G17620,LRS1,,
AT1G32410,5PTase12,,
AT1G63990,AtENODL14,,
AT3G62310,ENODL14,,
AT5G59690,CYP71B35,,
AT4G23460,EMB2782,,
AT5G04360,SMC5,,
AT4G08470,AtGH3.12,,
AT4G18130,GDG1,,
AT1G22940,GH3.12,,
AT5G10890,PBS3,,
AT5G63780,WIN3,,
AT1G68400,AtPDC1,,
AT1G33140,PDC1,,
ATCG01030,ATP5,,
AT3G46460,CLE22,,
AT3G27670,UGLYAH,,
AT2G26150,AtLpxD2,,
AT3G11800,LpxD2,,
AT3G53500,SIG3,,
AT1G60420,SIGC,,
AT4G01770,ABCB28,,
AT1G08600,ATNAP8,,
AT1G31140,NAP8,,
AT5G23820,ABCD2,,
AT2G34370,SRO1,,
AT1G15200,ATRAB-A2D,,
AT2G26500,ATRABA2D,,
AT1G15750,RABA2D,,
AT1G19580,ATUPS4,,
AT1G18180,UPS4,,
AT1G14400,RPT4A,,
AT3G23600,ATCEL3,,
ATCG00740,ATGH9B3,,
AT5G11340,CEL3,,
AT3G16460,GTE3,,
AT1G14150,mtHsc70-1,,
AT2G37630,LCR70,,
AT5G42190,PDF2.1,,
AT5G10090,SLAH2,,
ATCG01290,ATPURC,,
AT3G09490,PUR7,,
AT4G23790,PURC,,
AT5G27450,RCI2B,,
AT1G13750,YAO,,
AT4G15280,ATGSTU12,,
AT1G53480,GSTU12,,
AT3G49620,NRPB10,,
AT2G39290,NRPD10,,
AT3G42630,NRPE10,,
AT3G17998,MIR156H,,
AT1G19050,ATS3,,
AT4G30490,MIR394A,,
AT4G16950,ATICS1,,
AT5G35900,EDS16,,
AT4G31340,ICS1,,
AT4G31610,SID2,,
AT2G23200,ATCAP-C,,
AT5G60170,ATSMC3,,
AT2G22000,ATSMC4,,
AT3G46130,SMC3,,
AT1G22360,CPuORF60,,
AT5G10230,FSD2,,
AT2G47690,RBCS2B,,
AT1G47870,BAL,,
AT4G17530,BAP2,,
AT3G08560,EARLI1,,
AT5G20570,pEARLI 1,,
AT3G06260,AGD4,,
AT2G17972,ATWI-12,,
AT2G19730,SAG20,,
AT4G13250,WI12,,
AT5G23200,ACD31.2,,
AT4G11070,ACD32.1,,
AT4G15750,ORF262,,
AT1G27700,PYL8,,
AT1G51040,RCAR3,,
AT3G60120,EMB2597,,
AT1G02780,NOV,,
AT3G17860,MIR390,,
AT5G67230,MIR390B,,
AT5G09330,ATCHX25,,
AT2G04780,CHX25,,
AT4G22220,ATMDAR2,,
AT4G19660,ATBZIP34,,
AT1G32230,BZIP34,,
AT1G32540,MIR405B,,
AT1G58025,ATL43,,
AT4G20840,ATHSP70,,
AT2G44120,HSP70,,
AT3G55110,ATRBP31,,
AT4G16480,ATRBP33,,
AT1G75510,CP31,,
AT4G17280,RBP31,,
AT3G05790,AtCRL2,,
AT1G63690,CRL2,,
AT3G05240,GAUT7,,
AT4G08790,LGT7,,
ATCG00810,ATHMG,,
AT2G47470,HMG,,
AT2G48120,NFD,,
AT5G45160,SSRP1,,
AT5G35735,ALPHA-SNAP2,,
AT1G17180,ASNAP,,
AT5G35730,ATPCNA2,,
AT1G51080,PCNA2,,
AT3G22910,AtRLP6,,
AT5G01770,RLP6,,
AT5G20150,ATCLE19,,
AT1G56600,CLE19,,
AT1G16850,ESR19,,
