Gene,Protein,Location,Methodology
AT2G33050,NIK1,,
AT1G51390,CYP81D8,,
AT2G24520,ATPP2-B11,,
AT2G23890,PP2-B11,,
AT1G71260,BEH4,,
AT5G28650,KMD2,,
AT2G33750,WOX10,,
AT2G18490,WOX13B,,
AT4G32590,GUN1,,
AT3G46950,MLP165,,
AT1G50370,XLG2,,
AT2G37970,CRK26,,
AT5G48010,AtENGase85B,,
AT1G59820,ENGase85B,,
AT2G24430,AtTYDC,,
AT2G14760,TYDC,,
AT5G37260,TYRDC,,
AT3G30775,TYRDC1,,
AT4G34290,CYP96A10,,
AT5G65430,ILL3,,
AT3G16980,maMYB,,
AT2G33580,2A6,,
AT4G16730-Ws,GONST1,,
AT1G34030,NDHB.1,,
AT3G53510,AtGRF8,,
AT2G33585,GRF8,,
AT1G65240,SEC5B,,
AT1G68110,UGT71C1,,
AT2G26600,AtPP2-A13,,
AT4G35740,PP2-A13,,
AT2G29650,GORK,,
AT4G30330,ATSWC6,,
AT3G50830,SEF,,
AT4G24610,EDA24,,
AT1G05070,ASG6,,
AT3G25150,CRK2,,
AT5G06600,MHK,,
AT5G40370,CP33,,
AT1G24310,PDE322,,
AT4G37520,ATRBP37,,
AT5G33210,CID12,,
AT5G47680,RBP37,,
AT5G50480,ATCB5-A,,
AT3G61160,B5 #6,,
AT1G72370,CB5-A,,
AT5G28646,RPS4,,
AT5G12130,CPK19,,
AT4G14690,IAA14,,
AT2G06050,SLR,,
AT5G63860,CBL8,,
AT4G34135,APL4,,
AT3G55260,ARG1,,
AT2G17430,MIR166,,
AT1G74180,MIR166D,,
AT3G16180,ATBCAT-2,,
AT3G62120,BCAT-2,,
AT4G38160,DIM1B,,
AT5G08610,emb2170,,
AT4G33530,ATHAM1,,
AT3G06140,HAM1,,
AT4G04190,LOM1,,
AT4G30190,TRND,,
AT5G66200,ATFTB,,
AT1G10600,ERA1,,
AT1G08830,WIG,,
AT2G06520,ORFX,,
AT1G08520,ATGLK2,,
AT4G15850,GLK2,,
AT2G35190,GPRI2,,
AT1G05805,FES1,,
AT4G13350,ATE1,,
AT5G50150,XBAT35,,
AT1G60740,UBP27,,
AT2G34585,AAO4,,
AT2G39750,AO4,,
AT3G13065,ATAO-4,,
AT3G13060,ATAO2,,
AT1G17800,ARI2,,
AT4G08930,ATARI2,,
AT1G74230,AL7,,
AT5G49450,AtAL7,,
AT1G14380,AKR4C8,,
AT3G28580,LAG1 HOMOLOG 2,,
AT3G03530,LOH2,,
AT5G54900,anac094,,
AT5G04060,NAC094,,
AT3G25520,CYP71A25,,
AT1G54140,CYP702A7P,,
AT5G16830,FD-GOGAT,,
AT5G19820,GLS1,,
AT5G12840,GLU1,,
AT1G08780,GLUS,,
AT5G39310,CYP702A5,,
AT2G39530,04C11,,
AT5G56650,ATPEN1,,
AT3G29360,PEN1,,
AT4G12735,CYP702A6,,
AT2G28290,CYP89A9,,
AT1G63670,AOP2,,
AT2G25800,LCR38,,
AT2G28830,ATPME1,,
AT1G65340,PME1,,
AT4G25880,DSPTP1E,,
AT5G24930,IBR5,,
AT1G05680,ATBPM6,,
AT2G37590,BPM6,,
AT1G61890,RPS6,,
AT4G36590,RPS6A,,
AT5G10730,LCR32,,
AT5G21140,ATBTF3,,
AT3G48740,BTF3,,
AT4G33510,PnsL1,,
AT2G19120,PPL2,,
AT4G16144,RTL1,,
AT1G21900,ATP1,,
AT4G15500,EMB3010,,
AT2G30800,RPS6B,,
AT4G11680,PDE326,,
AT1G27570,PNP,,
AT5G56220,RIF10,,
AT5G51990,ATFLA11,,
AT2G20725,FLA11,,
AT5G27000,ATSPPL1,,
AT2G03820,SPPL1,,
AT1G53500,AtGH9C2,,
AT3G29180,GH9C2,,
AT3G29185,LHCB4.1,,
AT3G61830,scpl48,,
AT1G69180,AtPEX19-2,,
AT2G15340,PEX19-2,,
ATMG01300,AtcPT6,,
AT1G25260,cPT6,,
AT2G28740,AXR1,,
AT4G13170,HTA7,,
AT4G10480,ORF157,,
ATCG00040,FSD3,,
AT5G36110,PLIM2b,,
ATCG00510,MIR171C,,
AT5G46160,ATL1F,,
AT4G00630,ARA12,,
AT5G60110,ATMSH3,,
AT2G19870,MSH3,,
AT1G03920,ATM17,,
AT3G60400,M17,,
AT4G24820,ATB BETA BETA,,
AT1G22060,EER1,,
AT4G23450,RCN1,,
AT1G79800,REGA,,
AT4G11420,AtGH9B11,,
AT3G07360,GH9B11,,
AT1G27680,SPL15,,
AT5G47560,VIP5,,
AT1G72175,RPS18,,
AT1G01690,NAD-ME2,,
AT3G11320,ATPCAP1,,
AT2G45950,MDP25,,
AT1G01695,PCAP1,,
AT3G49580,ARP7,,
AT3G59110,ARP7,,
AT4G01900,ATARP7,,
AT1G67830,VGDH1,,
AT1G32190,ATNUP160,,
AT5G39530,NUP160,,
AT5G09250,SAR1,,
AT3G51000,HDG2,,
AT2G36750,CSN6A,,
AT1G56000,ATNUDT13,,
AT5G41670,ATNUDX13,,
AT5G08060,NUDX13,,
AT3G33520,AUF1,,
AT3G02620,AGL52,,
AT1G33110,AtHsp70-15,,
AT3G25110,Hsp70-15,,
AT4G09010,PP2C74,,
AT3G12250,ATPT1,,
AT1G14030,PHT1;1,,
AT3G53160,TOE3,,
AT5G05730,ATE2FA,,
AT5G47780,E2F3,,
AT3G24050,ATAN11,,
AT5G35360,LWD1,,
AT4G08630,PSS1,,
AT3G57520,EXL3,,
AT5G53340,ECT7,,
AT1G31600,ARP4,,
AT1G13560,ATARP4,,
AT2G33870,AtTPR2,,
AT1G40129,TPR2,,
AT5G44670,PAA1,,
AT3G21550,ATSPS3F,,
AT2G23070,SPS3F,,
AT1G32990,XTH9,,
AT5G54160,HAP8,,
AT3G26380,AtPERK2,,
AT2G01270,PERK2,,
AT1G24880,ABCA2,,
AT4G32600,ATATH1,,
AT3G02420,ATH1,,
AT1G72310,ABCB14,,
AT4G32605,ATABCB14,,
AT5G60520,MDR12,,
AT1G59760,PGP14,,
AT5G64200,GLN1;5,,
AT2G47770,CHR24,,
AT5G42090,AtcPT4,,
AT4G36730,cPT4,,
AT2G22475,POK2,,
AT4G36040,DVL10,,
AT4G17905,RTFL12,,
AT2G22470,RPL40A,,
AT5G61690,UBQ2,,
AT1G58410,AGL33,,
ATMG01360,CYP705A5,,
AT5G52400,THAD,,
AT5G17170,THAD1,,
AT5G65158,ATMC1,,
AT3G09530,AtMCP1b,,
AT5G51290,ATMCPB1,,
AT2G44600,LOL3,,
AT3G09285,MC1,,
AT4G16360,MCP1b,,
AT5G40780,ATMRU1,,
AT1G26760,MRU1,,
AT1G30210,TAF7,,
AT1G60940,ACHT1,,
AT1G02340,AHG2,,
AT3G23490,ATPARN,,
AT4G26750,NRPA2,,
AT4G18480,LCR25,,
AT3G05630,PRA1.C,,
AT3G57420,ANAC076,,
AT1G55040,NAC076,,
AT4G26466,VND2,,
AT3G27380,IMP4,,
AT2G40270,CYP82C4,,
AT1G61870,AGL31,,
AT3G56820,MAF2,,
AT4G12620,NPC2,,
AT3G54210,CIN4,,
AT3G20160,COP10,,
AT3G10490,EMB144,,
AT5G47230,FUS9,,
AT2G03210,CYP705A18,,
AT3G25890,ATWNK1,,
AT3G20600,WNK1,,
AT5G50950,ZIK4,,
AT1G60530,emb1688,,
AT1G67650,DAZ2,,
AT5G47540,CYP81F4,,
AT5G05690,ATCIPK18,,
AT2G16060,ATWL1,,
AT2G44110,CIPK18,,
AT2G01470,SnRK3.20,,
AT2G34610,WL1,,
AT2G43070,ORF199,,
AT2G22290,GATL8,,
AT3G62910,LGT9,,
AT3G01390,RPL10B,,
AT3G46740,ICK6,,
AT1G76070,KRP3,,
AT3G15510,ATRBOH F,,
AT3G13360,ATRBOHF,,
AT5G49510,RBOH F,,
AT3G17330,RBOHAP108,,
AT3G23880,RBOHF,,
AT3G10270,emb1027,,
AT4G02280,GTE8,,
AT1G05350,JAZ8,,
AT1G08030,TIFY5A,,
AT4G12440,emb2004,,
AT3G14930,CP29,,
AT5G02050,AtRABA4a,,
AT5G02500,RABA4a,,
AT1G60025,AGL37,,
AT3G61172,PHE1,,
AT3G14640,ATFUT11,,
AT3G17910,FUCT1,,
AT1G29150,FUCTA,,
AT3G23800,FUT11,,
AT3G57280,GAE5,,
AT4G31800,ORF153A,,
AT5G03905,MIR856A,,
AT4G17010,MIR416,,
AT5G03900,ATHB-14,,
AT5G07480,ATHB14,,
AT3G30180,PHB,,
AT4G38070,PHB-1D,,
AT1G30670,ARA-4,,
AT1G54310,ARA4,,
AT4G21990,ATRAB11F,,
AT1G51760,ATRABA5C,,
AT5G42970,RABA5C,,
AT2G30575,RRA1,,
AT2G35050,ATGPAT7,,
AT5G56470,GPAT7,,
AT5G16620,AtHIR2,,
AT2G20290,HIR2,,
AT1G63450,TCP5,,
AT5G62640,MIR169A,,
AT5G62310,ATPLC4,,
AT3G62530,PLC4,,
AT1G06160,CRN1,,
AT1G61990,PPH,,
AT5G39800,EDM2,,
AT2G34260,PAP3,,
AT2G04842,PIF3,,
AT4G13860,POC1,,
AT5G48030,AGP12,,
AT1G69960,ATAGP12,,
AT4G05100,RIC4,,
AT5G11810,ATTPS10,,
AT3G43210,TPS10,,
AT2G01505,TPS10,,
AT2G17220,ZFP6,,
AT5G22370,LHB1B1,,
AT5G44550,LHCB1.4,,
AT4G08480,TBL38,,
AT1G20330,ATBBD1,,
AT3G16060,BBD1,,
AT4G38380,OLE1,,
AT4G34350,OLEO1,,
AT4G21190,CPK14,,
AT4G32360,CPuORF5,,
AT1G79580,ATSBT5.2,,
AT1G20620,ATHD1,,
AT1G10830,ATHDA19,,
AT5G02200,HD1,,
AT1G30900,HDA1,,
AT5G45970,HDA19,,
AT3G06620,RPD3A,,
AT3G56480,ATCAP1,,
AT4G04850,CAP 1,,
AT3G27170,CAP1,,
AT2G16930,ABCC15,,
AT1G50990,ATMRP15,,
AT5G53520,MRP15,,
AT2G43920,VQ9,,
AT3G15410,HEC2,,
AT5G09730,TOM20-2,,
AT5G43780,ATRAD21.3,,
AT5G37180,SYN4,,
AT3G26819,ATNRT2.3,,
AT3G26818,NRT2.3,,
AT2G28190,TUA3,,
AT5G53430,LCR51,,
AT5G41315,CYP96A12,,
AT3G61620,ATOXA1,,
AT3G26810,OXA1,,
AT3G26813,OXA1AT,,
AT1G78220,UBC34,,
AT3G26815,DVL9,,
AT4G20110,RTFL3,,
AT3G55734,CuAO1,,
AT3G26816,PSBTN,,
AT5G49120,MIR158B,,
AT5G07880,ATOPT1,,
AT1G79050,OPT1,,
AT4G14590,ATVHA-C1,,
AT2G38610,AVA-P1,,
AT3G28770,VHA-C1,,
AT4G25560,scpl17,,
AT5G04275,AtZIP1,,
AT4G39650,ZIP1,,
AT4G30290,ATMYB31,,
AT5G57520,ATY13,,
AT5G20200,MYB31,,
AT5G08280,ATMGT10,,
AT1G15710,GMN10,,
AT5G37450,MGT10,,
AT4G01220,MGT10,,
AT5G37980,MRS2-11,,
AT5G18500,CPuORF32,,
AT2G28990,LCR64,,
AT1G80820,GATA15,,
AT3G26600,AGL72,,
AT2G36500,MEE49,,
AT3G21160,BGAL4,,
AT4G34970,CLB19,,
AT3G58880,PDE247,,
AT5G62850,WAKL6,,
AT3G53700,CPuORF21,,
AT5G59320,ATAUX2-27,,
AT4G29670,AUX2-27,,
AT4G35000,IAA5,,
AT2G14750,AtPP2-B13,,
AT5G17400,PP2-B13,,
AT5G12100,OSB2,,
AT2G06990,PTAC9,,
AT4G39030,ATRAB,,
AT5G66380,ATRAB ALPHA,,
AT4G30070,ATRAB18B,,
AT4G31650,ATRABC2A,,
AT2G23240,RABC2A,,
AT5G63190,ATGSTT1,,
AT2G39250,GST10,,
AT3G49110,GSTT1,,
AT1G80790,GLV8,,
AT5G07500,GLV4,,
AT3G11780,RGF7,,
AT4G16990,TRNM,,
AT5G24050,H3.3,,
AT4G16620,XXT5,,
AT5G11100,RPS14,,
AT1G07040,ATCTL2,,
AT3G42660,CTL2,,
AT5G46570,AtGRF5,,
AT2G27400,GRF5,,
AT1G04760,ABCB17,,
AT5G22510,PGP17,,
AT1G73165,pBRP2,,
AT1G18490,CWLP,,
AT4G18170,ABCI14,,
AT2G05070,TGD1,,
AT1G47380,ATSFL61,,
AT1G22270,CEG,,
AT1G22275,SFL61,,
AT4G36920,EMB2107,,
AT1G66350,MSA,,
AT2G14282,RPN5A,,
AT5G66540,SHN1,,
AT4G23130,WIN1,,
AT2G25685,ATMGT1,,
AT5G48953,MGT1,,
AT1G66680,MRS2-10,,
AT3G07170,LSU2,,
AT4G01730,PLL4,,
AT1G74810,AtCAF1a,,
AT1G08640,CAF1a,,
AT3G18860,APUM4,,
AT3G11510,PUM4,,
AT2G45560,ATRLP40,,
AT2G44160,RLP40,,
AT4G16190,SCRL28,,
AT4G00170,AtPARL,,
AT2G16595,ATRBL12,,
AT5G06960,PARL,,
AT5G48950,RBL12,,
AT2G44020,ARF21,,
AT3G02770,5PTASE11,,
AT1G21930,AT5PTASE11,,
AT1G55690,LecRK-VI.2,,
AT3G23390,LECRKA4.1,,
AT3G23640,CPuORF61,,
AT5G14080,ATSNAK2,,
AT1G01530,GRIK1,,
AT5G47370,ABCG28,,
AT1G63830,HCF136,,
AT3G16420,ATMTPB1,,
AT4G35260,MTPB1,,
AT1G13710,AFT,,
ATCG01250,AKR2,,
AT3G03250,AKR2A,,
AT1G43710,ABCG31,,
AT5G17410,ATPDR3,,
AT2G42880,PDR3,,
AT3G25770,LOB,,
AT5G57370,AtWRKY15,,
AT5G64860,WRKY15,,
AT5G17990,ATBBC1,,
AT2G38210,BBC1,,
AT4G09730,RSU2,,
AT1G49650,ARR3,,
AT2G32410,ATRBL1,,
AT3G23020,RBL1,,
AT2G34860,AT-HSFB3,,
AT2G22055,HSFB3,,
AT1G47830,HSFB3,,
AT5G14880,PSD1,,
AT1G31880,ABCG23,,
AT3G43980,AP2M,,
AT2G22040,EMB2024,,
AT5G25890,PGL3,,
AT1G03590,ATRMI1,,
AT2G37360,BLAP75,,
AT3G15210,RMI1,,
AT5G44180,TUA6,,
AT1G27740,AtMAPR4,,
AT3G63088,MAPR4,,
AT4G31920,DELTA-OAT,,
AT4G33720,NIP1,,
AT2G35736,CCB2,,
AT3G63080,HCF208,,
AT1G51220,ATNEK2,,
AT4G22260,NEK2,,
AT2G20570,ELF4-L1,,
AT1G48380,ATSAC1,,
AT1G32500,CRK19,,
AT2G15620,ATEXP8,,
AT1G56250,ATEXPA8,,
AT3G49370,ATHEXP ALPHA 1.11,,
AT1G69795,EXP8,,
AT1G67330,EXPA8,,
AT1G69797,3xHMG-box1,,
AT5G64410,HIPP27,,
AT1G29810,PDH-E1 ALPHA,,
AT5G04180,ATEDR1,,
AT5G60750,EDR1,,
AT3G05280,ATGOS12,,
AT1G64680,GOS12,,
AT5G44030,AIRP2,,
AT2G19480,AtAIRP2,,
AT5G25090,AAPT2,,
AT4G21340,ATAAPT2,,
AT4G17710,DDF1,,
AT4G25270,ATFIP37,,
AT3G07820,FIP37,,
AT1G66820,LSH4,,
AT1G03770,U60.2F,,
AT1G51590,APRL5,,
AT5G12350,ATAPRL5,,
AT2G35880,DOT4,,
AT2G46830,UBP22,,
AT3G59700,ATBPM3,,
AT1G50735,BPM3,,
AT1G68825,TRNS.1,,
AT1G67481,CVL1,,
AT2G04032,EDA7,,
AT1G09070,BGLU21,,
AT2G04030,ATCESA3,,
AT4G27690,ATH-B,,
AT3G04735,CESA3,,
AT1G62305,CEV1,,
AT1G16890,ELI1,,
AT1G16720,IXR1,,
AT2G04039,MRE1,,
AT1G64460,ATGB2,,
AT3G01700,ATRAB2C,,
AT5G44780,ATRABB1B,,
AT5G44785,GB2,,
AT1G09680,SKIP1,,
AT3G21890,ATWRKY61,,
AT4G25180,WRKY61,,
AT3G21720,RPB5E,,
AT5G24630,BP80-3;2,,
AT3G26410,VSR3;2,,
AT4G07990,VSR5,,
AT1G20430,ATCYCD2;1,,
AT5G13080,CYCD2;1,,
AT1G06770,AtRLP20,,
AT3G18270,RLP20,,
AT3G24550,ASIL1,,
AT4G21690,FUS3,,
AT1G78882,MIR779A,,
AT5G45330,CRR31,,
AT4G19210,NdhS,,
AT4G12290,ATRBL11,,
AT4G19960,AtRBL9,,
AT3G10060,RBL11,,
AT1G28140,RBL9,,
AT1G50170,EMB2788,,
AT1G16090,UGT78D1,,
AT5G53950,ANAC006,,
AT1G49380,NAC006,,
AT5G23680,AtMYB103,,
AT1G11820,ATMYB80,,
AT1G25580,MS188,,
AT5G07010,MYB103,,
AT1G78050,MYB80,,
AT4G32270,ATIPK2BETA,,
AT5G55460,IPK2B,,
AT1G53020,IPK2BETA,,
AT4G28250,FRS7,,
AT1G79260,RIC6,,
AT2G33070,CDC48B,,
AT3G53280,UNE15,,
AT3G47400,ATHDH,,
AT4G24580,HDH,,
AT5G02190,HISN8,,
AT4G37090,ADR2,,
AT4G37720,WRR4,,
AT2G20990,GRX480,,
AT1G80070,roxy19,,
AT5G62810,UREF,,
AT2G02880,ATWRKY65,,
AT3G58070,WRKY65,,
AT4G38240,AtCBF5,,
AT4G18390,AtNAP57,,
AT2G27970,CBF5,,
AT4G28780,NAP57,,
AT4G21030,PSAN,,
AT2G21400,TIN1,,
AT3G53060,ATM1,,
AT3G56010,ATMYB101,,
AT5G14590,MYB101,,
AT1G65220,ATCBL1,,
AT3G28345,CBL1,,
AT4G04460,SCABP5,,
AT4G35760,ATEME1B,,
AT3G10680,EME1B,,
AT1G74540,EME1B,,
AT4G24630,POR C,,
AT1G69780,PORC,,
AT2G38280,GLYI4,,
AT2G05850,SPHK2,,
AT3G53402,COBL11,,
AT4G24800,TIE1,,
AT1G24330,APC4,,
AT5G43700,ATERDJ3A,,
AT1G68170,TMS1,,
AT2G29100,SADHU1-2,,
AT4G37890,BBX24,,
AT5G45100,STO,,
AT3G20410,QWRF9,,
AT2G43240,BGAL2,,
AT2G02080,CYC1BAT,,
AT2G43710,CYCB1;2,,
AT3G17210,RBK2,,
AT4G24805,SOB5,,
AT4G37540,ABCB27,,
AT4G05590,ALS1,,
AT3G19900,AtALS1,,
AT1G10120,ATTAP2,,
AT5G58160,TAP2,,
AT5G26220,ATBTAF1,,
AT3G12130,BTAF1,,
AT1G73750,CHA16,,
AT3G19300,CHR16,,
AT4G14430,RGD3,,
AT1G64670,GATA27,,
AT3G12685,ATDSI-1VOC,,
AT4G04640,DSI-1VOC,,
AT4G18360,ATWRKY34,,
AT3G12680,MSP3,,
AT1G71930,WRKY34,,
AT1G68210,AtPP2-B1,,
AT5G04590,PP2-B1,,
AT3G27820,OBP2,,
AT2G45710,URP3,,
AT1G64220,ALPHA DOX2,,
AT4G35490,alpha-DOX2,,
AT5G54730,SDN1,,
AT5G54680,EMS1,,
AT4G01037,EXS,,
AT4G15820,ATRNR1,,
AT2G39880,CLS8,,
AT2G39730,DPD2,,
AT2G39885,R1,,
AT2G20370,RNR1,,
AT5G15450,ATRBOHD,,
AT3G13080,RBOHD,,
AT4G40100,AtCDC20.1,,
AT1G70080,CDC20.1,,
AT2G32700,ATMAP65-1,,
AT5G51850,MAP65-1,,
AT5G03240,MAP65-1,,
AT2G31500,ATMES12,,
AT1G22210,MES12,,
AT2G32850,ATTOM1,,
AT5G14270,TOM1,,
AT1G04370,ABCC4,,
AT4G34520,ATMRP4,,
AT2G22630,EST3,,
AT2G38420,MRP4,,
AT4G25960,RIE1,,
AT5G04040,5PTASE13,,
AT5G19370,AT5PTASE13,,
AT5G27240,ATU2AF35B,,
AT5G62100,U2AF35B,,
AT3G25545,ACR11,,
AT3G25540,ATCOL3,,
AT3G29430,BBX4,,
AT2G39080,COL3,,
AT1G19370,LRX2,,
AT3G21690,ATPUP3,,
AT1G72410,PUP3,,
AT3G13882,PME1,,
AT1G62940,DPA,,
AT3G13880,GATA9,,
AT2G19490,PFK1,,
AT2G18850,ATNCED9,,
AT4G25860,NCED9,,
AT2G31880,NET3A,,
AT5G24910,ATFP6,,
AT2G22830,FP6,,
AT4G10170,HIPP26,,
AT1G21460,AtCCME,,
ATCG00280,ATG1,,
AT5G05282,G1,,
AT5G66950,ATMSRA2,,
AT3G45460,PMSR2,,
AT1G22590,ATPHB1,,
AT4G30710,PHB1,,
AT5G40010,RGLG4,,
AT1G33590,ABCI5,,
AT1G27510,CLE21,,
AT3G48760,AtHB23,,
AT5G51970,HB23,,
AT1G65310,ZHD10,,
AT1G72480,ADOF2,,
AT5G23030,DOF2,,
AT2G48110,COR27,,
AT5G02840,bHLH093,,
AT1G12710,PIP2;5,,
AT3G49660,PIP2D,,
AT4G01690,AT-HSP17.6A,,
AT2G43190,HSP17.6,,
AT1G69160,HSP17.6A,,
AT5G63050,ZR3,,
AT2G03840,CRRL,,
AT1G53520,NdhU,,
AT1G65070,PSB29,,
AT2G28760,THF1,,
AT1G61140,ANAC015,,
AT4G00340,BRN1,,
AT3G06270,NAC015,,
AT3G02930,EMB3004,,
ATCG00065,MEE32,,
AT5G49665,OSB1,,
AT1G04480,AtDJ1A,,
ATMG00960,DJ-1a,,
AT4G10350,DJ1A,,
AT3G07610,Phox3,,
AT1G21860,DVL13,,
AT3G08640,RTFL2,,
AT4G00140,APUM20,,
AT2G19810,PUM20,,
AT5G35160,ATDUF10,,
AT5G56380,DUF 10,,
AT3G11650,ATSEC14,,
AT1G72150,SEC14,,
AT2G45970,CBRLK1,,
AT1G79860,RKS2,,
AT4G00930,SD1-13,,
AT1G19950,CST,,
AT4G19180,CX32,,
AT2G04620,Kin4,,
AT5G43430,DHNS,,
AT3G63410,ECHID,,
AT4G19185,MIR827A,,
AT1G67810,MIR168,,
AT5G09270,MIR168A,,
AT4G22670,AtHB33,,
AT4G09030,HB33,,
AT1G80670,ZHD5,,
AT4G18970,ATFIP1[V],,
AT3G23250,ATFIPS5,,
AT1G74420,FIP1[V],,
AT3G42670,FIPS5,,
AT5G11450,BIO2,,
AT3G48231,BIOB,,
AT1G79130,AARE,,
AT1G48240,AtAARE,,
AT5G56130,ATPSAT1,,
AT3G14070,ERP1,,
AT5G20160,PSAT1,,
AT2G26020,TET17,,
AT4G30840,AtHDA7,,
AT5G43860,HDA7,,
AT2G33810,IMS1,,
AT2G44590,IPMS2,,
AT3G62750,MAML-3,,
AT2G23050,scpl35,,
AT2G27210,ATSIK,,
AT2G16430,ATCSLG1,,
AT5G24260,CSLG1,,
AT1G78880,MEE60,,
AT1G55200,ATHSF1,,
AT5G52120,ATHSFA1A,,
AT1G26600,HSF1,,
AT4G14010,HSFA1A,,
AT1G13170,DHS1,,
AT5G10920,AE7,,
AT4G36710,CYP76C2,,
AT1G16710,ATUNG,,
AT2G22450,UNG,,
AT5G64880,ORF313,,
AT5G60500,ABO4,,
AT1G03900,EMB142,,
AT1G09340,EMB2284,,
AT3G16640,EMB529,,
AT1G03905,ESD7,,
AT2G47710,POL2A,,
AT5G42340,TIL1,,
AT5G59845,LSM1A,,
AT2G46440,AGL56,,
AT5G17190,ATGLR2.5,,
AT1G65060,GLR2.5,,
AT1G58122,BGLU7,,
AT4G27170,SPL11,,
AT2G21900,AtSEOR2,,
AT2G20208,SEOa,,
AT1G28550,SEOR2,,
AT5G57660,ATCEL2,,
AT2G46990,CEL2,,
AT1G12360,CEL2,,
AT2G36360,anac088,,
AT3G04830,NAC088,,
AT4G24960,TRZ4,,
AT1G02360,ASF1A,,
AT4G32720,AtSP7,,
AT1G80240,SGA2,,
AT2G44620,SP7,,
AT3G14850,NAXT1,,
AT4G26770,TBL32,,
AT2G02500,BARS1,,
AT3G58660,PEN2,,
AT3G05610,LCR10,,
AT1G69060,ATPTB2,,
AT1G55060,PTB2,,
AT1G63150,ATMTP11,,
AT5G64080,MTP11,,
AT2G40290,MBR1,,
AT1G76900,DVL18,,
AT3G56840,RTFL5,,
AT1G17620,GLYI8,,
AT3G03110,ATTPS14,,
AT3G60680,TPS14,,
,TET10,,
,ATCBF1,,
,CBF1,,
,DREB1B,,
,MPI7,,
,MPIP7,,
,PRA1.D,,
,RALFL10,,
,AtPRX1,,
,PRX2,,
,AtHNL,,
,ATMES5,,
,HNL,,
,MES5,,
,ALDH2,,
,ALDH2A,,
,ALDH2B4,,
,ATHDA14,,
,HDA14,,
,NF-YA6,,
,ATRANGAP1,,
,RANGAP1,,
,CYP97B3,,
,AK-HSDH,,
,AK-HSDH II,,
,IMPA-4,,
,ATOFP17,,
,OFP17,,
,CPUORF7,,
,AtGulLO1,,
,GulLO1,,
,JLO,,
,LBD30,,
,CRRJ,,
,NdhT,,
,DGD2,,
,ORF100C,,
,HRB1,,
,AtPUX7,,
,PUX7,,
,AFB5,,
,ATKT4,,
,ATKUP3,,
,KUP3,,
,STIPL1,,
,APK3,,
,AtFH16,,
,FH16,,
,ATERDJ2A,,
,APT1,,
,PHT1;2,,
,PHT2,,
,AT-HSFA7B,,
,HSFA7B,,
,TFIIIA,,
,BGLU44,,
,GATA6,,
,mMDH2,,
,CLL1,,
,EPFL5,,
,CLPS3,,
,ATCTC1,,
,CTC1,,
,Phox4,,
,BGLU41,,
,AtSGF29a,,
,SGF29a,,
,CP22,,
,NPQ4,,
,PSBS,,
,AtRDR1,,
,ATRDRP1,,
,RDR1,,
,ATCHX11,,
,CHX11,,
,ATZFP1,,
,ZFP1,,
,ATBZIP4,,
,bZIP4,,
,CRWN2,,
,LINC2,,
,CHL,,
,AL1,,
,BHLH161,,
,BNQ3,,
,ATGR1,,
,GR1,,
,ATILP1,,
,ILP1,,
,SAUR21,,
,RVE1,,
,ACHT3,,
,AtLAP2,,
,LAP2,,
,ASKdZeta,,
,ATSK2-2,,
,ATSK23,,
,BIL1,,
,SKdZeta,,
,BBX29,,
,ATNRAMP3,,
,NRAMP3,,
,AT-SAE1-1,,
,ATSAE1A,,
,SAE1A,,
,ATGPA1,,
,GP ALPHA 1,,
,GPA1,,
,BUD2,,
,SAMDC4,,
,RGLG3,,
,ARA1,,
,ATISA1,,
,ISA1,,
,CPuORF49,,
,BGAL12,,
,ATPUP11,,
,PUP11,,
,MIR160,,
,MIR160C,,
,GCT,,
,MAB2,,
,AAE18,,
,ETG1,,
,ATHSPRO2,,
,HSPRO2,,
,CAK1AT,,
,CDKF;1,,
,ECT3,,
,GTG2,,
,ATFLS2,,
,FLS2,,
,AP3,,
,ATAP3,,
,ATBETAFRUCT4,,
,AtFRUCT4,,
,AtVI2,,
,FRUCT4,,
,VAC-INV,,
,VI2,,
,BGT,,
,GCN5,,
,HAC3,,
,HAG01,,
,HAG1,,
,HAT1,,
,ATMYB57,,
,MYB57,,
,AtbZIP,,
,bZIP,,
,ATBT1,,
,EMB104,,
,EMB42,,
,SHS1,,
,IAA33,,
,ACS12,,
,TRNP,,
,MIR823A,,
,JMJ15,,
,MEE27,,
,PKDM7C,,
,ATGSTF3,,
,GST16,,
,GSTF3,,
,PDCB5,,
,RALFL3,,
,ATUBP1,,
,UBP1,,
,RALFL2,,
,CPuORF29,,
,AGP13,,
,APA1,,
,ATAPA1,,
,BSK7,,
,H2B,,
,HTB2,,
,BIP3,,
,LCBK2,,
,AtNUDT7,,
,GFG1,,
,NUDT7,,
,MIR171B,,
,RALFL24,,
,DELTA-VPE,,
,DELTAVPE,,
,Hsp70b,,
,ATUSPL1,,
,USPL1,,
,SDG18,,
,SUVR2,,
,bZIP65,,
,TGA10,,
,PYL4,,
,RCAR10,,
,CYP71B30P,,
,UGT71C4,,
,ATFAH1,,
,FAH1,,
,ATSUC8,,
,SUC8,,
,PrfB3,,
,ABCG33,,
,ATPDR5,,
,PDR5,,
,ATMYR1,,
,MYR1,,
,EC1.1,,
,DHNAT1,,
,AGL69,,
,FCL4,,
,MAF4,,
,NDB3,,
,ATWRKY25,,
,WRKY25,,
,AtMTM1,,
